,data,taxa_selic,fator_diario
146,2022-12-21,13.65,1.00050788
147,2022-12-20,13.65,1.00050788
148,2022-12-19,13.65,1.00050788
149,2022-12-16,13.65,1.00050788
150,2022-12-15,13.65,1.00050788
151,2022-12-14,13.65,1.00050788
152,2022-12-13,13.65,1.00050788
153,2022-12-12,13.65,1.00050788
154,2022-12-09,13.65,1.00050788
155,2022-12-08,13.65,1.00050788
156,2022-12-07,13.65,1.00050788
157,2022-12-06,13.65,1.00050788
158,2022-12-05,13.65,1.00050788
159,2022-12-02,13.65,1.00050788
160,2022-12-01,13.65,1.00050788
161,2022-11-30,13.65,1.00050788
162,2022-11-29,13.65,1.00050788
163,2022-11-28,13.65,1.00050788
164,2022-11-25,13.65,1.00050788
165,2022-11-24,13.65,1.00050788
166,2022-11-23,13.65,1.00050788
167,2022-11-22,13.65,1.00050788
168,2022-11-21,13.65,1.00050788
169,2022-11-18,13.65,1.00050788
170,2022-11-17,13.65,1.00050788
171,2022-11-16,13.65,1.00050788
172,2022-11-14,13.65,1.00050788
173,2022-11-11,13.65,1.00050788
174,2022-11-10,13.65,1.00050788
175,2022-11-09,13.65,1.00050788
176,2022-11-08,13.65,1.00050788
177,2022-11-07,13.65,1.00050788
178,2022-11-04,13.65,1.00050788
179,2022-11-03,13.65,1.00050788
180,2022-11-01,13.65,1.00050788
181,2022-10-31,13.65,1.00050788
182,2022-10-28,13.65,1.00050788
183,2022-10-27,13.65,1.00050788
184,2022-10-26,13.65,1.00050788
185,2022-10-25,13.65,1.00050788
186,2022-10-24,13.65,1.00050788
187,2022-10-21,13.65,1.00050788
188,2022-10-20,13.65,1.00050788
189,2022-10-19,13.65,1.00050788
190,2022-10-18,13.65,1.00050788
191,2022-10-17,13.65,1.00050788
192,2022-10-14,13.65,1.00050788
193,2022-10-13,13.65,1.00050788
194,2022-10-11,13.65,1.00050788
195,2022-10-10,13.65,1.00050788
196,2022-10-07,13.65,1.00050788
197,2022-10-06,13.65,1.00050788
198,2022-10-05,13.65,1.00050788
199,2022-10-04,13.65,1.00050788
200,2022-10-03,13.65,1.00050788
201,2022-09-30,13.65,1.00050788
202,2022-09-29,13.65,1.00050788
203,2022-09-28,13.65,1.00050788
204,2022-09-27,13.65,1.00050788
205,2022-09-26,13.65,1.00050788
206,2022-09-23,13.65,1.00050788
207,2022-09-22,13.65,1.00050788
208,2022-09-21,13.65,1.00050788
209,2022-09-20,13.65,1.00050788
210,2022-09-19,13.65,1.00050788
211,2022-09-16,13.65,1.00050788
212,2022-09-15,13.65,1.00050788
213,2022-09-14,13.65,1.00050788
214,2022-09-13,13.65,1.00050788
215,2022-09-12,13.65,1.00050788
216,2022-09-09,13.65,1.00050788
217,2022-09-08,13.65,1.00050788
218,2022-09-06,13.65,1.00050788
219,2022-09-05,13.65,1.00050788
220,2022-09-02,13.65,1.00050788
221,2022-09-01,13.65,1.00050788
222,2022-08-31,13.65,1.00050788
223,2022-08-30,13.65,1.00050788
224,2022-08-29,13.65,1.00050788
225,2022-08-26,13.65,1.00050788
226,2022-08-25,13.65,1.00050788
227,2022-08-24,13.65,1.00050788
228,2022-08-23,13.65,1.00050788
229,2022-08-22,13.65,1.00050788
230,2022-08-19,13.65,1.00050788
231,2022-08-18,13.65,1.00050788
232,2022-08-17,13.65,1.00050788
233,2022-08-16,13.65,1.00050788
234,2022-08-15,13.65,1.00050788
235,2022-08-12,13.65,1.00050788
236,2022-08-11,13.65,1.00050788
237,2022-08-10,13.65,1.00050788
238,2022-08-09,13.65,1.00050788
239,2022-08-08,13.65,1.00050788
240,2022-08-05,13.65,1.00050788
241,2022-08-04,13.65,1.00050788
242,2022-08-03,13.15,1.00049037
243,2022-08-02,13.15,1.00049037
244,2022-08-01,13.15,1.00049037
245,2022-07-29,13.15,1.00049037
246,2022-07-28,13.15,1.00049037
247,2022-07-27,13.15,1.00049037
248,2022-07-26,13.15,1.00049037
249,2022-07-25,13.15,1.00049037
250,2022-07-22,13.15,1.00049037
251,2022-07-21,13.15,1.00049037
252,2022-07-20,13.15,1.00049037
253,2022-07-19,13.15,1.00049037
254,2022-07-18,13.15,1.00049037
255,2022-07-15,13.15,1.00049037
256,2022-07-14,13.15,1.00049037
257,2022-07-13,13.15,1.00049037
258,2022-07-12,13.15,1.00049037
259,2022-07-11,13.15,1.00049037
260,2022-07-08,13.15,1.00049037
261,2022-07-07,13.15,1.00049037
262,2022-07-06,13.15,1.00049037
263,2022-07-05,13.15,1.00049037
264,2022-07-04,13.15,1.00049037
265,2022-07-01,13.15,1.00049037
266,2022-06-30,13.15,1.00049037
267,2022-06-29,13.15,1.00049037
268,2022-06-28,13.15,1.00049037
269,2022-06-27,13.15,1.00049037
270,2022-06-24,13.15,1.00049037
271,2022-06-23,13.15,1.00049037
272,2022-06-22,13.15,1.00049037
273,2022-06-21,13.15,1.00049037
274,2022-06-20,13.15,1.00049037
275,2022-06-17,13.15,1.00049037
276,2022-06-15,12.65,1.00047279
277,2022-06-14,12.65,1.00047279
278,2022-06-13,12.65,1.00047279
279,2022-06-10,12.65,1.00047279
280,2022-06-09,12.65,1.00047279
281,2022-06-08,12.65,1.00047279
282,2022-06-07,12.65,1.00047279
283,2022-06-06,12.65,1.00047279
284,2022-06-03,12.65,1.00047279
285,2022-06-02,12.65,1.00047279
286,2022-06-01,12.65,1.00047279
287,2022-05-31,12.65,1.00047279
288,2022-05-30,12.65,1.00047279
289,2022-05-27,12.65,1.00047279
290,2022-05-26,12.65,1.00047279
291,2022-05-25,12.65,1.00047279
292,2022-05-24,12.65,1.00047279
293,2022-05-23,12.65,1.00047279
294,2022-05-20,12.65,1.00047279
295,2022-05-19,12.65,1.00047279
296,2022-05-18,12.65,1.00047279
297,2022-05-17,12.65,1.00047279
298,2022-05-16,12.65,1.00047279
299,2022-05-13,12.65,1.00047279
300,2022-05-12,12.65,1.00047279
301,2022-05-11,12.65,1.00047279
302,2022-05-10,12.65,1.00047279
303,2022-05-09,12.65,1.00047279
304,2022-05-06,12.65,1.00047279
305,2022-05-05,12.65,1.00047279
306,2022-05-04,11.65,1.00043739
307,2022-05-03,11.65,1.00043739
308,2022-05-02,11.65,1.00043739
309,2022-04-29,11.65,1.00043739
310,2022-04-28,11.65,1.00043739
311,2022-04-27,11.65,1.00043739
312,2022-04-26,11.65,1.00043739
313,2022-04-25,11.65,1.00043739
314,2022-04-22,11.65,1.00043739
315,2022-04-20,11.65,1.00043739
316,2022-04-19,11.65,1.00043739
317,2022-04-18,11.65,1.00043739
318,2022-04-14,11.65,1.00043739
319,2022-04-13,11.65,1.00043739
320,2022-04-12,11.65,1.00043739
321,2022-04-11,11.65,1.00043739
322,2022-04-08,11.65,1.00043739
323,2022-04-07,11.65,1.00043739
324,2022-04-06,11.65,1.00043739
325,2022-04-05,11.65,1.00043739
326,2022-04-04,11.65,1.00043739
327,2022-04-01,11.65,1.00043739
328,2022-03-31,11.65,1.00043739
329,2022-03-30,11.65,1.00043739
330,2022-03-29,11.65,1.00043739
331,2022-03-28,11.65,1.00043739
332,2022-03-25,11.65,1.00043739
333,2022-03-24,11.65,1.00043739
334,2022-03-23,11.65,1.00043739
335,2022-03-22,11.65,1.00043739
336,2022-03-21,11.65,1.00043739
337,2022-03-18,11.65,1.00043739
338,2022-03-17,11.65,1.00043739
339,2022-03-16,10.65,1.00040168
340,2022-03-15,10.65,1.00040168
341,2022-03-14,10.65,1.00040168
342,2022-03-11,10.65,1.00040168
343,2022-03-10,10.65,1.00040168
344,2022-03-09,10.65,1.00040168
345,2022-03-08,10.65,1.00040168
346,2022-03-07,10.65,1.00040168
347,2022-03-04,10.65,1.00040168
348,2022-03-03,10.65,1.00040168
349,2022-03-02,10.65,1.00040168
350,2022-02-25,10.65,1.00040168
351,2022-02-24,10.65,1.00040168
352,2022-02-23,10.65,1.00040168
353,2022-02-22,10.65,1.00040168
354,2022-02-21,10.65,1.00040168
355,2022-02-18,10.65,1.00040168
356,2022-02-17,10.65,1.00040168
357,2022-02-16,10.65,1.00040168
358,2022-02-15,10.65,1.00040168
359,2022-02-14,10.65,1.00040168
360,2022-02-11,10.65,1.00040168
361,2022-02-10,10.65,1.00040168
362,2022-02-09,10.65,1.00040168
363,2022-02-08,10.65,1.00040168
364,2022-02-07,10.65,1.00040168
365,2022-02-04,10.65,1.00040168
366,2022-02-03,10.65,1.00040168
367,2022-02-02,9.15,1.00034749
368,2022-02-01,9.15,1.00034749
369,2022-01-31,9.15,1.00034749
370,2022-01-28,9.15,1.00034749
371,2022-01-27,9.15,1.00034749
372,2022-01-26,9.15,1.00034749
373,2022-01-25,9.15,1.00034749
374,2022-01-24,9.15,1.00034749
375,2022-01-21,9.15,1.00034749
376,2022-01-20,9.15,1.00034749
377,2022-01-19,9.15,1.00034749
378,2022-01-18,9.15,1.00034749
379,2022-01-17,9.15,1.00034749
380,2022-01-14,9.15,1.00034749
381,2022-01-13,9.15,1.00034749
382,2022-01-12,9.15,1.00034749
383,2022-01-11,9.15,1.00034749
384,2022-01-10,9.15,1.00034749
385,2022-01-07,9.15,1.00034749
386,2022-01-06,9.15,1.00034749
387,2022-01-05,9.15,1.00034749
388,2022-01-04,9.15,1.00034749
389,2022-01-03,9.15,1.00034749
390,2021-12-31,9.15,1.00034749
391,2021-12-30,9.15,1.00034749
392,2021-12-29,9.15,1.00034749
393,2021-12-28,9.15,1.00034749
394,2021-12-27,9.15,1.00034749
395,2021-12-24,9.15,1.00034749
396,2021-12-23,9.15,1.00034749
397,2021-12-22,9.15,1.00034749
398,2021-12-21,9.15,1.00034749
399,2021-12-20,9.15,1.00034749
400,2021-12-17,9.15,1.00034749
401,2021-12-16,9.15,1.00034749
402,2021-12-15,9.15,1.00034749
403,2021-12-14,9.15,1.00034749
404,2021-12-13,9.15,1.00034749
405,2021-12-10,9.15,1.00034749
406,2021-12-09,9.15,1.00034749
407,2021-12-08,7.65,1.00029256
408,2021-12-07,7.65,1.00029256
409,2021-12-06,7.65,1.00029256
410,2021-12-03,7.65,1.00029256
411,2021-12-02,7.65,1.00029256
412,2021-12-01,7.65,1.00029256
413,2021-11-30,7.65,1.00029256
414,2021-11-29,7.65,1.00029256
415,2021-11-26,7.65,1.00029256
416,2021-11-25,7.65,1.00029256
417,2021-11-24,7.65,1.00029256
418,2021-11-23,7.65,1.00029256
419,2021-11-22,7.65,1.00029256
420,2021-11-19,7.65,1.00029256
421,2021-11-18,7.65,1.00029256
422,2021-11-17,7.65,1.00029256
423,2021-11-16,7.65,1.00029256
424,2021-11-12,7.65,1.00029256
425,2021-11-11,7.65,1.00029256
426,2021-11-10,7.65,1.00029256
427,2021-11-09,7.65,1.00029256
428,2021-11-08,7.65,1.00029256
429,2021-11-05,7.65,1.00029256
430,2021-11-04,7.65,1.00029256
431,2021-11-03,7.65,1.00029256
432,2021-11-01,7.65,1.00029256
433,2021-10-29,7.65,1.00029256
434,2021-10-28,7.65,1.00029256
435,2021-10-27,6.15,1.00023687
436,2021-10-26,6.15,1.00023687
437,2021-10-25,6.15,1.00023687
438,2021-10-22,6.15,1.00023687
439,2021-10-21,6.15,1.00023687
440,2021-10-20,6.15,1.00023687
441,2021-10-19,6.15,1.00023687
442,2021-10-18,6.15,1.00023687
443,2021-10-15,6.15,1.00023687
444,2021-10-14,6.15,1.00023687
445,2021-10-13,6.15,1.00023687
446,2021-10-11,6.15,1.00023687
447,2021-10-08,6.15,1.00023687
448,2021-10-07,6.15,1.00023687
449,2021-10-06,6.15,1.00023687
450,2021-10-05,6.15,1.00023687
451,2021-10-04,6.15,1.00023687
452,2021-10-01,6.15,1.00023687
453,2021-09-30,6.15,1.00023687
454,2021-09-29,6.15,1.00023687
455,2021-09-28,6.15,1.00023687
456,2021-09-27,6.15,1.00023687
457,2021-09-24,6.15,1.00023687
458,2021-09-23,6.15,1.00023687
459,2021-09-22,5.15,1.0001993
460,2021-09-21,5.15,1.0001993
461,2021-09-20,5.15,1.0001993
462,2021-09-17,5.15,1.0001993
463,2021-09-16,5.15,1.0001993
464,2021-09-15,5.15,1.0001993
465,2021-09-14,5.15,1.0001993
466,2021-09-13,5.15,1.0001993
467,2021-09-10,5.15,1.0001993
